datos,model,prompt,lang,accuracy,recall,precision,f1,matthews
original,google/gemma-2-9b-it,3 es,es,0.5873015873015873,0.5833943833943833,0.573015873015873,0.574886446886447,
original,google/gemma-2-9b-it,3 en,en,0.5714285714285714,0.5838827838827838,0.580050505050505,0.5716410256410256,
original,google/gemma-2-9b-it,2 en,es,0.5714285714285714,0.5738705738705738,0.5723453017570664,0.5665769775609593,
original,google/gemma-2-9b-it,2 es,es,0.5714285714285714,0.5738705738705738,0.5594914889032536,0.5629458261037208,
original,google/gemma-2-9b-it,2 en,en,0.5873015873015873,0.5934065934065933,0.5879744816586921,0.5823076923076923,
original,google/gemma-2-9b-it,1 en,es,0.5714285714285714,0.5738705738705738,0.5723453017570664,0.5665769775609593,
original,google/gemma-2-9b-it,1 es,es,0.5714285714285714,0.5738705738705738,0.5646196940314587,0.5644056995635943,
original,google/gemma-2-9b-it,1 en,en,0.5714285714285714,0.578021978021978,0.559676113360324,0.5606614641397251,
original,google/gemma-2-9b-it,4 en,es,0.5714285714285714,0.5738705738705738,0.5646196940314587,0.5644056995635943,
original,google/gemma-2-9b-it,4 es,es,0.5873015873015873,0.5833943833943833,0.573015873015873,0.574886446886447,
original,google/gemma-2-9b-it,4 en,en,0.5873015873015873,0.5934065934065933,0.5859964596806702,0.5832367149758454,
original,meta-llama/Llama-3.3-70B-Instruct,3 en,es,0.7619047619047619,0.7776556776556776,0.8173009446693659,0.767089947089947,
original,meta-llama/Llama-3.3-70B-Instruct,3 es,es,0.7777777777777778,0.8030525030525031,0.8188795518207282,0.7918792318792318,
original,meta-llama/Llama-3.3-70B-Instruct,3 en,en,0.8571428571428571,0.8692307692307694,0.8847222222222222,0.8607925407925408,
original,meta-llama/Llama-3.3-70B-Instruct,2 en,es,0.7936507936507936,0.8252747252747252,0.837948717948718,0.8084848484848484,
original,meta-llama/Llama-3.3-70B-Instruct,2 es,es,0.7936507936507936,0.8125763125763126,0.8259615384615385,0.8036042756042756,
original,meta-llama/Llama-3.3-70B-Instruct,2 en,en,0.8412698412698413,0.8597069597069597,0.8653781512605041,0.8478175820281084,
original,meta-llama/Llama-3.3-70B-Instruct,1 en,es,0.7777777777777778,0.810989010989011,0.8314035087719297,0.7951759351759351,
original,meta-llama/Llama-3.3-70B-Instruct,1 es,es,0.7619047619047619,0.7887667887667887,0.8127350427350427,0.7789691789691789,
original,meta-llama/Llama-3.3-70B-Instruct,1 en,en,0.8095238095238095,0.7005494505494506,0.72366452991453,0.696016576016576,
original,meta-llama/Llama-3.3-70B-Instruct,4 en,es,0.7777777777777778,0.810989010989011,0.8314035087719297,0.7951759351759351,
original,meta-llama/Llama-3.3-70B-Instruct,4 es,es,0.7777777777777778,0.8030525030525031,0.8192458521870286,0.7920745920745921,
original,meta-llama/Llama-3.3-70B-Instruct,4 en,en,0.8412698412698413,0.8597069597069597,0.8653781512605041,0.8478175820281084,
original,mistralai/Mistral-7B-Instruct-v0.3,3 en,es,0.3492063492063492,0.3387260887260887,0.31921470342522973,0.29522648488165726,
original,mistralai/Mistral-7B-Instruct-v0.3,3 es,es,0.36507936507936506,0.433943833943834,0.3996632607158923,0.36674994696773283,
original,mistralai/Mistral-7B-Instruct-v0.3,3 en,en,0.5238095238095238,0.4574684574684575,0.4733693207377418,0.44490460157126827,
original,mistralai/Mistral-7B-Instruct-v0.3,2 en,es,0.3492063492063492,0.3387260887260887,0.31921470342522973,0.29522648488165726,
original,mistralai/Mistral-7B-Instruct-v0.3,2 es,es,0.36507936507936506,0.433943833943834,0.3996632607158923,0.36674994696773283,
